region_id,region_type,population_density,median_income,elderly_percentage,child_percentage,hospitals_per_100k,vaccination_rate,healthcare_accessibility_score,avg_temperature,avg_humidity,annual_rainfall,air_quality_index,disease_incidents_last_year,outbreak_frequency_5years,avg_outbreak_duration,daily_commuter_percentage,international_travel_freq,public_transport_usage,risk_score,outbreak_risk_category
0,Suburban,1926.0714596148744,59715.32807151039,13.12037280884873,16.559945203362027,1.5871254182522991,0.7732352291549871,0.7005575058716045,27.61514928204013,65.40362888980228,530.8767414437036,146.38918225943934,111,4,22.34963019255433,44.466126419531236,0.1346248955766153,11.383745502484945,38.67174037491047,Medium Risk
1,Suburban,1099.7914575728832,46234.34047871335,22.367720186661746,18.82461991267163,2.974846328710182,0.693352578649596,0.8299702033681603,19.18066441752615,64.01537692938899,1175.7488779543146,31.59179533918398,121,9,16.092275383467413,23.906884560255357,3.452741829909569,36.40914962437608,38.16848605675145,Medium Risk
2,Urban,5961.415280890162,62338.173681547836,16.23422152178822,20.200680211778106,3.8667756983581993,0.6869708911051055,0.8847923138822793,13.895781750144888,68.75664116805572,1909.2484123462837,137.37928205131786,103,7,21.40887948810799,40.83337040103295,4.809742919311811,60.67203092068908,54.44759495709379,Medium Risk
3,Rural,274.4491448706491,56912.244502229565,22.140684953733693,17.759991820225434,0.7962735057040824,0.5330533878126005,0.407818203370597,20.429617358154072,51.17007403531848,1092.3222772633544,65.21858096616458,106,4,28.52601757026698,46.04308102007778,4.583302410164526,61.00231466738796,45.83620138796068,Medium Risk
4,Suburban,643.115174735617,72034.11928148588,23.31844713234993,20.91297787707727,1.9120826894850962,0.7122486851695402,0.591463437376895,14.380508327299816,78.58560476945519,1773.3707363991257,116.60754253978479,92,8,24.213257793715748,24.435632832473253,2.2527488591422737,22.103152140123772,48.28955949291248,Medium Risk
5,Rural,242.93140935923475,76914.21264512879,12.786629088117515,21.044173792778174,1.0398410913016731,0.5406122449469539,0.8714267852789905,22.90344770865013,59.9432733244268,1542.1773995595568,135.65614068183092,104,4,27.429211803754356,52.14688307596458,1.0141932885415756,63.553539909398665,43.1061757708126,Medium Risk
6,Suburban,1711.1602327460937,45360.67180333134,12.201038490553536,17.279351625419416,2.1406616829393847,0.7636029531844987,0.8303652916281717,23.365627513869875,30.347606526559535,1266.1209538663486,80.08932037785348,91,7,28.858194078250385,32.92811728083021,2.6420740465424943,52.18113753371067,33.7298752317443,Medium Risk
7,Suburban,1957.673124081441,21218.431770514377,15.696809887549353,15.368869473545328,2.4143465009698453,,,19.867430622753915,43.93232321183057,1862.3988289499805,58.74742688003669,88,5,14.841105430230009,46.885421896235144,3.8319361151107163,24.25825263954398,36.870424054860024,Medium Risk
8,Rural,190.21373503243407,71078.07958817281,20.71549368149517,15.902897700544083,1.335302495589238,0.5641560129943471,0.49325925519992714,26.961628767459516,32.0387570777382,1386.3394147823628,111.30772342107389,91,3,28.81046528979208,35.902880843500895,2.6369816175846528,60.262606354439676,41.64240782892477,Medium Risk
9,Suburban,1602.824178861158,53084.75201010006,23.915687986901645,17.285500217972995,1.7624323906439043,0.7964336686658872,0.6583179456355072,12.782583241518807,43.04145874152045,1994.3805496368866,145.85032215465523,102,6,16.780595820974014,33.968382984506434,3.6571828264641733,63.82661559715463,48.5376618290006,Medium Risk
10,Rural,392.1390174702357,39799.62917632264,13.232574281892276,23.98554188527079,1.10642905965959,0.5018394103233259,0.4507357714330161,21.161268485805017,63.17508845540279,507.59237576932804,49.296966170099836,101,8,13.518505053546907,20.723014544620835,2.52007920439883,20.729362553279728,40.20518836589866,Medium Risk
